teacher_code,nom,prenom,sexe,date_naissance,telephone,email,specialite,grade,date_embauche,statut
TEACH-00076,Le Roux,Julien,F,1976-12-28,0534068239,amelie39@example.com,IA,Vacataire,2021-01-10,Vacataire
TEACH-00077,Pierre,Henri,M,1996-03-07,771234567,,IA,Assistant,2009-12-13,Permanent
TEACH-00078,Potier,Astrid,M,1965-05-17,+33 (0)3 65 54 11 02,blotvincent@example.net,Python,Vacataire,2020-02-07,Vacataire
TEACH-00079,Diallo,Emmanuelle,M,1976-01-24,+33 3 22 07 17 00,ibecker@example.com,Intelligence Artificielle,Professeur,2025-02-06,Vacataire
TEACH-00080,Cohen,Luc,F,1989-09-18,0449237236,agnes52@example.net,Data Science,Assistant,2010-08-31,Vacataire
TEACH-00081,Rousseau,Nicolas,F,1961-06-26,771234567,,Intelligence Artificielle,Vacataire,2024-04-24,Permanent
TEACH-00082,Rousseau,Matthieu,M,1982-12-24,0146258612,mariannegermain@example.org,Base de données,Maître Assistant,2012-06-24,Permanent
TEACH-00083,Bonnet,Susanne,M,1970-08-21,+33 6 29 08 57 94,suzanne83@example.org,Intelligence Artificielle,Professeur,2016-03-24,Permanent
TEACH-00084,Regnier,Théophile,M,1966-06-18,+33 2 21 13 14 42,thomasperrier@example.com,Data Science,Assistant,2011-12-31,Vacataire
TEACH-00085,Pons,Benjamin,F,1994-09-29,+33 6 08 10 32 62,barbierjeanne@example.net,Base de données,Assistant,2018-05-20,Vacataire
TEACH-00086,Nicolas,Luc,M,1999-03-12,77-123-45-67,,Intelligence Artificielle,Assistant,2014-08-09,Vacataire
TEACH-00087,Bernard,Adrienne,F,1964-12-13,04 34 16 10 87,astriddelattre@example.net,IA,Professeur,2012-03-01,Vacataire
TEACH-00088,Colas,Benjamin,M,1985-12-01,03 71 71 29 68,aimelemaire@example.com,Cloud,Professeur,2017-05-05,Vacataire
TEACH-00089,Da Silva,Emmanuel,F,1978-06-21,+33 4 58 41 42 26,clairemillet@example.org,Base de données,Assistant,2019-07-21,Vacataire
TEACH-00090,Roy,Gérard,F,1976-10-14,+33 4 23 76 17 13,kthomas@example.com,Data Science,Assistant,2012-08-04,Permanent
TEACH-00091,Baudry,Inès,F,2000-12-29,+33 1 46 97 39 81,sabineroux@example.com,Python,Vacataire,2023-04-11,Vacataire
TEACH-00092,Camus,Caroline,M,1965-08-16,+33 (0)4 77 56 24 38,bertrandbernard@example.net,Cybersécurité,Professeur,2024-04-20,Vacataire
TEACH-00093,Bonnin,Laetitia,F,1998-05-12,+33 (0)5 81 66 85 31,rodriguezbrigitte@example.org,Python,Maître Assistant,2023-02-02,Permanent
TEACH-00094,Duval,Claudine,F,1986-10-18,04 77 38 26 11,emmanueletienne@example.net,Base de données,Vacataire,2009-08-03,Permanent
TEACH-00095,Besnard,Xavier,M,1969-06-13,+33 1 79 38 98 99,eroyer@example.com,Intelligence Artificielle,Maître Assistant,2013-09-07,Permanent
TEACH-00096,Boulanger,Philippe,F,1985-10-26,0587116876,valletpaulette@example.com,Cloud,Professeur,2025-04-24,Vacataire
TEACH-00097,Morel,Clémence,F,1993-12-27,+33 (0)3 55 29 13 93,alphonsereynaud@example.com,Intelligence Artificielle,Vacataire,2022-08-19,Permanent
TEACH-00098,Lamy,Louise,M,1971-07-15,+33 3 82 63 37 79,susannecollet@example.net,Base de données,Maître Assistant,2008-11-19,Vacataire
TEACH-00099,Launay,Emmanuel,M,1981-10-26,+33 2 62 42 32 16,obernier@example.net,Cloud,Vacataire,2020-08-28,Vacataire
TEACH-00100,Raynaud,Raymond,F,1973-02-02,02 77 41 94 97,normandalexandrie@example.com,IA,Maître Assistant,2019-08-09,Permanent
TEACH-00101,Georges,Édouard,F,1961-03-29,0277099635,patrickpelletier@example.org,IA,Assistant,2018-11-08,Vacataire
TEACH-00102,Faure,Inès,M,2001-07-09,+33 2 98 40 29 71,lorrainemendes@example.com,IA,Assistant,2020-11-25,Vacataire
TEACH-00103,Guichard,Stéphanie,F,1966-03-30,0365723628,vincent33@example.net,Cybersécurité,Vacataire,2021-03-16,Permanent
TEACH-00104,Adam,Guillaume,M,1961-12-21,771234567,,Intelligence Artificielle,Professeur,2008-09-07,Permanent
TEACH-00105,Texier,Honoré,F,1995-03-20,+33 (0)4 86 46 79 33,mahemarine@example.com,Data Science,Assistant,2017-01-26,Permanent
TEACH-00106,Navarro,Philippine,M,1990-10-16,03 76 37 15 13,bgeorges@example.com,Base de données,Professeur,2010-06-27,Vacataire
TEACH-00107,Maillet,Louis,M,1982-05-22,+33 (0)2 99 59 60 56,dianeetienne@example.org,Cloud,Maître Assistant,2011-05-04,Permanent
TEACH-00108,Maillard,Camille,M,1978-10-09,0586551293,camille89@example.net,Data Science,Vacataire,2023-01-08,Vacataire
TEACH-00109,Guillaume,Élisabeth,M,1970-02-14,+33 (0)2 69 74 30 45,michelcolette@example.com,Cybersécurité,Vacataire,2010-02-15,Permanent
TEACH-00110,Da Costa,Sophie,F,1986-02-02,03 65 27 36 34,edouard16@example.org,Cloud,Maître Assistant,2010-05-15,Permanent
TEACH-00111,Raymond,Margaret,M,1998-01-28,+33 4 34 97 63 81,suzanne50@example.com,IA,Vacataire,2020-02-01,Permanent
TEACH-00112,Perrin,Auguste,M,1980-09-29,0355659561,gilbertfernandes@example.net,Cybersécurité,Vacataire,2021-10-06,Permanent
TEACH-00113,Maury,Pierre,M,1981-06-16,06 38 49 56 18,rogerclerc@example.net,IA,Assistant,2018-03-16,Vacataire
TEACH-00114,Martineau,Stéphane,M,1967-01-22,0364196741,mdaniel@example.org,Base de données,Vacataire,2008-05-20,Vacataire
TEACH-00115,Nicolas,Yves,M,1963-09-09,0371061755,de-sousalucy@example.net,Cybersécurité,Professeur,2007-03-31,Permanent
TEACH-00116,Masson,Marie,M,1992-04-27,+33 (0)3 56 51 29 81,munozlaetitia@example.org,Intelligence Artificielle,Vacataire,2025-06-19,Vacataire
TEACH-00117,Bonnin,Claudine,F,1999-08-12,02 98 63 63 39,juliette65@example.net,Base de données,Professeur,2006-10-16,Vacataire
TEACH-00118,Guilbert,Joseph,M,1978-06-29,+221771234567,,Intelligence Artificielle,Prof,2014-07-27,Permanent
TEACH-00119,Hamel,Patrick,F,1970-10-25,+33 4 77 06 75 34,sylvie83@example.org,Cloud,Maître Assistant,2009-11-10,Permanent
TEACH-00120,Renard,Richard,F,1994-07-17,+33 (0)4 50 53 51 36,anastasieauger@example.net,Base de données,Vacataire,2013-03-29,Permanent
TEACH-00121,Gautier,Pierre,F,1995-01-09,+33 (0)3 83 71 50 87,leducrichard@example.org,Python,Vacataire,2019-08-22,Vacataire
TEACH-00122,Gautier,Édouard,F,1985-06-27,+33 7 63 94 34 18,lacroixremy@example.net,Cloud,Maître Assistant,2022-10-06,Permanent
TEACH-00123,Pruvost,Guy,M,1995-01-29,+33 (0)3 67 80 21 36,adele07@example.org,Intelligence Artificielle,Vacataire,2008-02-14,Vacataire
TEACH-00124,Poirier,Marine,F,1977-06-07,+33 (0)1 88 42 45 14,olebrun@example.org,Cloud,Professeur,2007-12-31,Vacataire
TEACH-00125,Couturier,Henriette,F,1966-12-12,+33 (0)6 31 87 32 49,xauger@example.org,IA,Assistant,2010-08-17,Permanent
TEACH-00126,Petitjean,Anastasie,M,1976-07-10,03 64 83 00 66,frederic52@example.com,Python,Professeur,2009-01-01,Vacataire
TEACH-00127,Vidal,William,F,1975-06-27,02 37 87 15 25,frederiquemunoz@example.com,IA,Maître Assistant,2008-06-12,Vacataire
TEACH-00128,Adam,Paulette,M,1995-04-22,+33 (0)1 75 10 83 04,xlombard@example.net,Data Science,Vacataire,2009-10-16,Permanent
TEACH-00129,Benard,Victor,F,1981-09-26,03 82 26 51 31,michelle33@example.org,Data Science,Professeur,2024-02-06,Permanent
TEACH-00130,Julien,Christelle,F,1962-07-18,+33 (0)5 31 25 85 71,clemencephilippe@example.net,Python,Maître Assistant,2010-12-19,Permanent
TEACH-00131,Benoit,Astrid,F,1966-07-13,07 93 25 01 33,dupontdavid@example.com,Intelligence Artificielle,Assistant,2006-11-25,Permanent
TEACH-00132,Charles,Sophie,F,1983-08-14,+33 5 17 10 90 11,qroussel@example.net,Data Science,Vacataire,2006-11-19,Vacataire
TEACH-00133,Delmas,Joséphine,M,1997-08-04,0258258418,daniellesamson@example.org,Base de données,Assistant,2022-02-23,Vacataire
TEACH-00134,Roussel,Emmanuelle,M,1979-04-03,02 29 16 91 46,sreynaud@example.com,Intelligence Artificielle,Maître Assistant,2008-07-29,Permanent
TEACH-00135,Perret,Geneviève,M,1985-08-05,02 18 97 10 02,theresejoseph@example.com,Data Science,Professeur,2024-06-20,Permanent
TEACH-00136,Grenier,Matthieu,F,1974-03-25,+33 3 61 53 23 59,achauveau@example.net,Cybersécurité,Assistant,2008-10-26,Permanent
TEACH-00137,Ferreira,Stéphanie,M,2000-02-28,0276383147,raymondastrid@example.org,Data Science,Assistant,2006-10-07,Permanent
TEACH-00138,Verdier,Guillaume,M,1984-03-17,+33 (0)3 10 73 89 60,gabrielle86@example.net,Data Science,Vacataire,2010-06-13,Vacataire
TEACH-00139,Clément,Jeanne,M,1967-07-08,+33 3 55 45 73 59,alexandreparent@example.net,Cybersécurité,Professeur,2024-06-30,Permanent
TEACH-00140,Poulain,Diane,M,1963-10-04,771234567,,IA,Professeur,2006-12-24,Vacataire
TEACH-00141,Berthelot,Daniel,M,1972-01-04,0234912423,malletcapucine@example.com,Base de données,Professeur,2007-02-08,Permanent
TEACH-00142,Maillet,Xavier,F,1966-10-20,+33 4 91 03 08 13,fduval@example.org,Data Science,Maître Assistant,2022-05-26,Vacataire
TEACH-00143,Marin,Sabine,F,1992-01-07,+33 2 44 32 85 62,etienne76@example.org,Data Science,Vacataire,2011-06-20,Vacataire
TEACH-00144,Delahaye,Noël,M,1987-09-09,02 47 13 95 46,peronclaire@example.com,Cybersécurité,Professeur,2006-10-22,Permanent
TEACH-00145,Hoarau,Christophe,F,1997-05-06,+33 3 52 18 97 52,luce69@example.net,IA,Professeur,2018-04-07,Vacataire
TEACH-00146,Pires,Isabelle,F,1994-12-12,04 20 25 36 45,hriviere@example.net,Cybersécurité,Vacataire,2013-12-03,Permanent
TEACH-00147,Fournier,Valérie,F,1988-05-13,0173106891,costajuliette@example.com,Cloud,Vacataire,2011-01-03,Permanent
TEACH-00148,Hardy,Théodore,F,1984-07-02,+33 5 36 56 08 42,sophiebourgeois@example.org,Base de données,Assistant,2007-03-24,Permanent
TEACH-00149,Aubert,Laurent,F,1991-09-07,0219685434,ledouxdiane@example.net,IA,Assistant,2011-01-06,Permanent
TEACH-00150,Parent,Élodie,M,1985-07-22,0622969286,perezalexandrie@example.org,Python,Assistant,2021-07-04,Vacataire
TEACH-00151,Costa,Matthieu,F,1970-02-04,+33 2 97 79 14 13,jeannemenard@example.com,Python,Vacataire,2023-10-23,Permanent
TEACH-00152,Dufour,Georges,F,1996-12-01,+33 (0)3 64 14 29 12,lefebvrethibault@example.org,Base de données,Vacataire,2024-09-19,Permanent
TEACH-00153,Gonzalez,Margaux,F,1978-07-19,02 48 66 95 34,rnicolas@example.org,Data Science,Professeur,2017-12-14,Vacataire
TEACH-00154,Lelièvre,Noémi,M,1975-08-28,+33 2 30 21 61 14,zoelebon@example.org,Base de données,Vacataire,2020-07-26,Permanent
TEACH-00155,Leroy,Joseph,F,1972-10-09,0237439648,theophile03@example.com,IA,Assistant,2010-10-12,Permanent
TEACH-00156,Lévêque,Sabine,M,1985-10-09,0634405920,hbonneau@example.com,Base de données,Professeur,2021-07-31,Vacataire
TEACH-00157,Diaz,Christelle,F,1979-08-18,+33 (0)5 81 65 14 42,zaubert@example.net,IA,Vacataire,2012-08-24,Vacataire
TEACH-00158,Foucher,Célina,F,1969-02-01,04 68 92 76 03,noel61@example.org,Cloud,Maître Assistant,2013-04-28,Vacataire
TEACH-00159,Lejeune,Alexandre,F,1984-02-04,03 82 21 63 34,isaacphilippe@example.com,Python,Professeur,2016-02-25,Permanent
TEACH-00160,Lamy,Daniel,M,1995-10-20,0176548586,bmorvan@example.org,Intelligence Artificielle,Maître Assistant,2016-08-18,Permanent
TEACH-00161,Marchal,Corinne,F,1963-03-31,0411794855,genevieve40@example.com,Cloud,Maître Assistant,2007-07-22,Vacataire
TEACH-00162,Bertin,Victoire,M,1991-12-20,0256207148,henriette11@example.org,Python,Professeur,2006-12-29,Vacataire
TEACH-00163,Jacquot,Simone,M,1991-07-01,03 85 66 85 80,rpinto@example.com,Python,Assistant,2016-03-03,Permanent
TEACH-00164,Gilles,Lorraine,F,1990-05-16,+33 (0)3 45 87 83 83,delaunaymarcel@example.com,Base de données,Vacataire,2018-11-03,Vacataire
TEACH-00165,Durand,Renée,M,1977-12-19,0540093657,lcourtois@example.com,Python,Professeur,2016-03-15,Permanent
TEACH-00166,Laporte,Thibaut,F,1993-06-07,01 48 57 86 42,kleclercq@example.net,Cloud,Assistant,2007-07-15,Permanent
TEACH-00167,Thomas,Josette,M,1999-09-10,0379361311,wfontaine@example.org,Cloud,Maître Assistant,2020-12-05,Vacataire
TEACH-00168,Lambert,Charlotte,F,1984-06-18,0229569313,claudineriou@example.org,Cybersécurité,Vacataire,2011-10-18,Permanent
TEACH-00169,Peltier,Jeanne,F,1983-07-04,+33 4 93 55 96 77,tremy@example.com,Intelligence Artificielle,Vacataire,2013-09-29,Vacataire
TEACH-00170,Briand,Henriette,F,1985-03-26,+33 2 58 10 33 41,stephane01@example.org,Cybersécurité,Assistant,2011-06-24,Permanent
TEACH-00171,Ollivier,Aurélie,M,2000-10-11,+33 (0)1 58 65 12 37,epelletier@example.org,Cybersécurité,Vacataire,2023-08-29,Permanent
TEACH-00172,Noël,Astrid,M,1977-03-29,+33 4 67 72 00 88,parisfrederic@example.org,Python,Vacataire,2012-02-23,Vacataire
TEACH-00173,Gaudin,Juliette,M,1996-10-17,0246789410,marcel96@example.net,Data Science,Professeur,2016-03-26,Permanent
TEACH-00174,Guillaume,Margaud,F,1977-07-28,+33 (0)5 61 14 06 43,delattreadrien@example.org,Python,Professeur,2017-01-31,Permanent
TEACH-00175,Mahe,Jules,F,1981-10-18,+33 5 64 61 11 53,langloisbernadette@example.net,Cybersécurité,Maître Assistant,2008-01-13,Vacataire
TEACH-00176,Bonneau,Susanne,F,1974-02-20,+33 (0)2 28 84 72 37,obousquet@example.net,Cybersécurité,Vacataire,2022-12-06,Permanent
TEACH-00177,Bègue,Jeannine,F,1964-12-11,03 72 42 61 41,plabbe@example.net,Cloud,Vacataire,2007-02-06,Vacataire
TEACH-00178,Grondin,Jacques,M,1973-05-05,771234567,,Intelligence Artificielle,Assistant?,2011-09-14,Vacataire
TEACH-00179,Auger,Jules,M,1960-11-15,+33 (0)5 79 06 65 60,catherine52@example.net,Intelligence Artificielle,Maître Assistant,2021-09-11,Vacataire
TEACH-00180,Parent,Agnès,F,1974-04-16,0563517976,alexandria26@example.net,Python,Professeur,2007-07-08,Vacataire
TEACH-00181,Renaud,Zacharie,M,1989-04-14,0474212336,josette07@example.net,Cybersécurité,Professeur,2025-04-23,Permanent
TEACH-00182,Arnaud,Benoît,F,1985-10-29,+33 (0)6 36 14 15 85,richardgillet@example.com,Intelligence Artificielle,Professeur,2008-08-01,Permanent
TEACH-00183,Lemaire,Catherine,F,1973-12-29,+33 7 57 02 76 44,martyelisabeth@example.org,Python,Vacataire,2022-06-24,Vacataire
TEACH-00184,Marchal,Pénélope,M,1961-03-31,+33 3 66 54 27 65,sdescamps@example.com,Cloud,Vacataire,2013-01-29,Permanent
TEACH-00185,Cousin,Timothée,M,1996-07-19,77-123-45-67,,Data Science,Professeur Senior,2014-07-03,Vacataire
TEACH-00186,Lesage,Robert,M,1987-02-03,+33 3 68 77 66 54,tperrier@example.org,Data Science,Vacataire,2007-12-01,Permanent
TEACH-00187,Potier,Sabine,M,1966-03-08,02 47 64 03 79,zacharie47@example.org,IA,Vacataire,2017-08-22,Vacataire
TEACH-00188,Neveu,Anastasie,M,1990-05-08,0141227832,maryse62@example.net,Data Science,Assistant,2011-10-17,Permanent
TEACH-00189,Pierre,Vincent,M,1981-04-27,04 66 97 01 47,wmercier@example.org,Python,Professeur,2024-11-03,Vacataire
TEACH-00190,Jacquet,Frédéric,F,1966-04-11,+33 (0)2 55 58 31 32,mperrot@example.com,Cybersécurité,Maître Assistant,2009-03-22,Vacataire
TEACH-00191,Jourdan,Alfred,M,1987-12-12,+33 (0)7 90 93 23 53,lorraine29@example.net,Intelligence Artificielle,Maître Assistant,2018-04-15,Permanent
TEACH-00192,Dupuy,Isabelle,M,1975-04-18,0262523353,lucy42@example.net,Cybersécurité,Vacataire,2020-09-11,Permanent
TEACH-00193,Michel,Élise,F,1965-06-30,+33 (0)3 66 63 76 00,bbenoit@example.net,Base de données,Professeur,2017-10-24,Permanent
TEACH-00194,Allard,Odette,F,1997-11-17,+33 (0)5 67 08 15 95,narnaud@example.org,Data Science,Assistant,2019-07-18,Permanent
